RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,570.3360442586206,451.0724864293106,222.33137701724135,1245.1227103448277,1823.4819603448275,57.12794244827584,78.5517692413793,27.27717670689655,1011.9094827586207,31.31724446551723,0.9979395394827587,1560.2758620689656,0.5895515385689655,38.69003547931033,276.86689400000023,665257.0,1367.9643199999994,1644.8312140000012,2402.8044320820804,780
2,564.2558812499998,396.7983334722223,241.36768250000003,1382.9440319444445,1968.6460472222227,63.818200055555494,87.32163144444445,33.60399970833333,1156.7847222222222,34.91944687499998,0.9962840288888886,1728.0,0.5284899744444445,46.629864180555586,434.0774740000006,985910.0,1810.1971489999999,2244.2746230000025,2271.2765786137034,779
3,594.8899798611109,580.0479284722223,248.63166930555568,1358.149,1927.7006374999992,63.7148896666667,86.68363365277781,32.668339027777776,1148.6319444444443,34.92916970833332,0.9950039327777779,1728.0,0.4888134715277778,44.6693039861111,624.486024,1043555.0,1540.8667929999979,2165.352817000003,1671.0622173987979,778
4,614.861621111111,503.23254416666674,243.54591569444443,1346.3141111111117,1890.0891486111113,63.631616125000036,86.15735330555556,31.731376208333334,1141.0902777777778,34.933338041666644,0.9959982005555553,1728.0,0.4305132534722224,43.53641837499997,171.88507600000003,302830.8249999996,412.1615696000006,584.0466455999997,1761.8215149755088,777
5,620.2362863888889,472.2582570833334,259.7895555555555,1332.4051055555553,1846.5762263888892,63.567812611111144,85.78050901388892,31.105503930555553,1133.142361111111,34.92083669444444,0.9973570906944447,1728.0,0.46536924888888886,42.26483890277771,595.6111990312495,1103321.7708333333,1386.873033364581,1982.484232395832,1852.419451863676,776
6,623.6315647222223,503.17070333333334,245.73751361111115,1325.7646958333337,1834.973573611111,63.52795181944446,85.60469629166667,30.916754638888886,1130.0104166666667,34.93611487499999,0.9966653097222221,1728.0,0.48947598291666655,41.83336913888881,600.9490490000003,1171069.0,1433.8262749999997,2034.7753239999995,1948.6993147733576,775
7,638.0314743055554,567.2846588888891,244.37362847222226,1326.6620152777778,1855.8943833333335,63.525714624999964,85.61253652777776,31.0,1130.0,34.920837652777756,0.9983362619444445,1728.0,0.5198656443055556,41.589895111111076,576.3108429999995,1183287.9999999998,1410.9806550000021,1987.2914980000028,2053.2114125085072,774
8,640.0900641666667,561.2874552777777,250.13642402777774,1321.2458250000007,1835.1866111111106,63.47021434722222,85.4631020138889,30.945709944444445,1129.732638888889,34.926392541666644,0.9966777605555556,1728.0,0.5124316190277778,41.00025199999996,551.6726360000001,1195505.9999999998,1388.1350340000017,1939.8076699999983,2167.0569138034966,773
9,633.8453661111109,553.414837638889,243.9041568055555,1309.8607249999998,1808.7483986111108,63.41214215277777,85.34593336111108,30.168080222222223,1127.6944444444443,34.926392277777765,0.9983374301388886,1728.0,0.4905683983333333,41.00025199999996,534.0088929999991,1226250.0,1416.9732369999988,1950.9821300000003,2296.310072873634,772
10,638.698690972222,600.4397013888888,251.07716569444443,1309.767048611111,1795.4753180555556,63.430677708333306,85.23291909722226,30.0,1121.3680555555557,34.930559458333306,0.9950123125000007,1728.0,0.49641950666666645,40.41567984722229,516.3451490000004,1256996.9999999998,1445.8114389999982,1962.1565879999996,2434.412335304038,771
