RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,310.0102538028169,296.9707219718309,278.633325915493,534.3323966197183,1842.403485915493,67.31107674647885,103.86911394366197,35.13098597183099,1580.5211267605634,46.75652574647885,0.25353520281690173,2048.0,1.1946788747887325,70.98437553521127,424.355492177522,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,656
2,304.3869713888888,291.08473111111095,273.26533944444424,529.3041720833335,1836.8530013888894,67.29745638888888,104.22526999999997,35.206249972222224,1581.013888888889,46.74976180555555,0.25424999069444476,2048.0,1.2761430454166667,71.01652102777778,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,655
3,305.661511527778,293.35899986111116,275.52450222222217,531.6125054166665,1839.0757041666668,67.30350916666666,104.00756402777779,35.23819447222222,1581.5694444444443,46.74464941666666,0.25191665819444475,2048.0,1.2319583350000005,71.12341936111113,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,654
4,304.2324027777778,294.91179111111114,276.39844624999995,531.1055594444446,1837.8954833333337,67.31517166666667,104.07907180555551,35.33472205555556,1581.8819444444443,46.75299869444442,0.25354165777777804,2048.0,1.2389722180555556,71.2664267638889,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,653
5,303.086250138889,293.9341318055556,275.08648027777775,530.8722213888888,1837.0699486111112,67.30433938888888,104.12339541666665,35.44236108333333,1583.3958333333333,46.76386072222222,0.2523749913888892,2048.0,1.241863890277778,71.36636961111112,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,652
6,301.41623236111104,291.9355994444445,273.22480791666675,529.6250094444446,1835.9544361111116,67.30116808333331,104.22969333333332,35.456249972222224,1584.125,46.75770516666667,0.2534166581944447,2048.0,1.2228444494444444,71.41775030555556,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,651
7,304.31422041666667,294.3432691666665,275.1198804166667,532.8069368055556,1839.1818736111115,67.31197875,104.04587930555557,35.50555544444445,1583.8680555555557,46.75354736111109,0.25487499083333365,2048.0,1.2408055497222215,71.43026936111113,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,650
8,302.11832541666666,291.7483080555555,272.68256930555555,531.8777663888889,1837.4473986111116,67.30566944444445,104.04535361111112,35.61736119444444,1585.4583333333333,46.754851805555525,0.25029165930555597,2048.0,1.2097069416666666,71.5364734166667,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,649
9,302.53092055555567,292.61646166666674,274.3953811111111,533.394436388889,1838.8680277777773,67.3014423611111,104.03793847222221,35.625,1585.4583333333333,46.7634743611111,0.25195832430555587,2048.0,1.2041444420833334,71.59962423611114,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,648
10,301.7084995833333,291.3970143055556,273.79524277777784,533.3972144444444,1838.9198111111118,67.30393934722223,104.08758694444447,35.68819436111111,1586.2291666666667,46.755828527777766,0.25224999208333365,2048.0,1.1990819631944447,71.69267573611113,424.35549217752197,106526.15882958,587.2084181927355,1011.5639103702576,247.09503816283865,647
