RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,232.15943444325933,71.43062365537037,177.52564835185186,1103.0199287037037,1468.6016249999998,44.47000033333333,57.553642449963405,14.270833333333334,641.0416666666666,19.388241888888892,9.975092383333333,945.7777777777778,0.6098518579814816,20.51850625925926,21.66402000000001,174261.00000000003,563.5433569999996,585.2073769999996,8043.797965474547,1650
2,339.2934572222223,286.4334026388887,265.17453986111104,1055.7888887499998,1726.2296430555552,57.27311976388891,81.66516595833332,25.442708333333332,1198.611111111111,35.65975158333334,9.913263543055557,2453.9481475555554,0.7054340266527783,42.57643191666668,659.6452070000008,467642.0,628.5100509999996,1288.1552579999993,708.9295806859392,1649
3,309.73686444444434,289.74675291666676,271.7954515277778,867.2395137499999,1643.3888611111108,57.918999875000004,98.55474562500002,34.30555555555556,1688.923611111111,47.09578863888891,9.901388494444443,2816.0,0.5298263862500002,73.57808865277781,1191.6324960000004,582238.0,189.834605,1381.467101000001,488.60533927567576,1648
4,314.6137494444443,291.65289972222206,266.1127620833333,761.9052762500003,1517.303854166667,58.930573722222285,116.85094555555555,41.55034722222222,2101.059027777778,55.45442581944444,9.91312465138889,2919.725925333333,0.8738848400000004,99.53988601388886,1326.407749999999,657776.9999999999,111.18577199999987,1437.593521999999,495.9085922108036,1647
5,309.04660736111117,295.67816097222226,266.5885406944444,740.4287488888889,1497.532552777778,59.41487172222222,119.31291388888887,41.973958333333336,2136.1631944444443,55.57161448611113,9.908957968055555,3052.4444444444443,0.9723819561111111,104.06421486111111,1455.4273280000016,733315.0,39.477057000000045,1494.9043850000012,503.8485851490072,1646
6,300.18826458333336,284.95319486111106,258.94381972222214,716.7157611111114,1519.918969444445,59.71265043055553,119.3306484722222,42.095486111111114,2131.6145833333335,55.6394103888889,9.911110755555557,3072.0,0.856347212222222,102.82284856944442,1456.4690439999986,733315.0000000001,38.220968999999975,1494.6900129999997,503.4882155724004,1645
7,295.18626777777786,279.50209916666677,255.92222986111105,704.7942576388889,1535.072390277778,59.90523599999996,118.62895458333335,42.13715277777778,2131.6493055555557,54.641494847222226,9.908332966666668,3072.0,0.8249324279166669,102.10583397222224,1441.5873739999988,733315.0,56.16508599999998,1497.7524600000024,508.6857815390388,1644
8,294.8147033333334,280.0403105555556,257.2247136111111,708.4910440277778,1523.3155222222229,60.009583875000004,118.11261569444446,41.723958333333336,2125.9375,54.91406297222221,9.904791284722222,3072.0,0.8378263902777778,103.34367736111113,1443.5219919999988,733315.0,53.83235100000001,1497.3543429999993,508.0040373919012,1643
9,291.68461930555554,289.7621088888888,262.0341319444444,761.8332558333334,1509.0196606944446,60.103810027777804,112.8246585277778,38.94965277777778,1976.4756944444443,51.525259527777784,9.91187464861111,3187.5555555555557,0.8985173545833336,91.15267900000002,1178.4745850000022,709482.0000000001,315.10455699999983,1493.5791420000014,602.0341966050977,1642
10,288.26125708333336,292.3179863888889,263.0740530555556,748.1512390277779,1482.0362750000006,60.16023191666669,115.19113125,40.692708333333336,2087.2569444444443,53.59045088888889,9.909860752777778,3328.0,1.0098402777777777,95.67703718055556,1218.0615860000003,733315.0,325.6894649999997,1543.7510509999995,602.0344196290904,1641
11,286.0326405555555,289.66569486111104,263.43277624999996,764.8077093055552,1491.0221583333334,60.243029861111076,112.01142222222225,39.36284722222222,2028.6979166666667,53.68871529166664,9.906944072222224,3328.0,1.017888886944445,89.64762280555553,1045.3466943648539,549255.5548911241,360.3439647032804,1405.6906590681356,525.4290828602535,1640
12,285.4244426388889,286.3387487499999,265.2805220833334,803.3356323611113,1520.3102000000008,60.32396248611107,104.25462091666671,35.892361111111114,1837.8645833333333,50.50240201388888,9.908957968055555,3293.6740755555556,0.8105034641805555,80.20147743055551,663.647882820049,333147.41586929804,242.6635077410973,906.3113905611461,501.9942419670649,1639
13,279.88750749999997,281.66627611111113,264.048775,814.5973498611111,1525.4649208333342,60.37702179166662,101.97492795833337,35.041666666666664,1816.1979166666667,50.23116334722223,9.8999996,3328.0,0.6785763869444446,78.77607780555553,0.0,0.0,0.0,0.0,512.0626258624584,1638
14,277.62364555555547,280.2195480555555,259.33174472222225,812.2994868055556,1528.7613638888886,60.424380361111034,103.38114791666672,35.439236111111114,1878.59375,52.1138017638889,9.904166283333332,3328.0,0.7357981655555557,85.39394195833333,438.22480882011655,228690.1715284047,189.731815900819,627.9566247209364,521.8558304449575,1637
15,276.6574845833333,279.12751861111093,260.66242333333327,821.6690094444446,1543.0718319444445,60.47853655555551,103.33031833333335,35.33680555555556,1874.1666666666667,52.2578995277778,9.902777388888888,3328.0,0.6961073552777775,83.80368458333335,949.7107919999994,481333.0,425.7429520000003,1375.453743999999,506.82060692009026,1636
16,283.37707486111117,282.6616391666667,266.879295138889,829.6490194444445,1566.5295458333328,60.51040162499996,103.4296409722222,35.677083333333336,1877.5,51.95399333333333,9.903541281944445,3328.0,0.6833564456944444,85.96347102777774,911.106258,471415.0000000001,441.8805800000007,1352.9868379999982,517.409463342749,1635
17,279.26798652777774,279.62847236111105,262.8286120833333,836.083894861111,1579.899227777778,60.572036958333356,103.5129025,35.44444444444444,1873.576388888889,52.18090087499999,9.904166283333332,3328.0,0.6471527744444443,85.04847951388889,901.2848020000006,464025.00000000006,448.91891100000043,1350.2037129999992,514.8483575561282,1634
18,277.69111180555547,277.7313880555555,262.8729163888888,842.790400138889,1592.5652791666662,60.595743888888904,103.55407972222221,35.26909722222222,1868.9930555555557,52.371180527777746,9.90152738611111,3328.0,0.6706736134722227,84.1041473611111,891.4633459999986,456635.0,455.9572430000005,1347.4205890000007,512.23081919063,1633
19,277.45498208333333,277.32281875000007,262.2745408333335,847.817151111111,1606.8300916666667,60.61769062500002,103.49223388888889,35.326388888888886,1867.7604166666667,52.0980906111111,9.902013495833334,3328.0,0.657729163888889,83.54688580555558,881.6418909999994,449245.0,462.99557400000026,1344.6374650000023,509.5549616981619,1632
20,275.70138930555567,276.3367695833333,260.79382930555556,850.0568501388892,1622.0516874999996,60.64620602777782,103.37521458333333,35.723958333333336,1863.28125,52.10572880555555,9.904166283333332,3328.0,0.6442474822222223,87.54508798611111,871.820435000001,441854.00000000006,470.0339060000003,1341.8543409999988,506.81766825068837,1631
