RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,-4.124245590277778,-3.9163188597222223,194.8480039166667,731.7999300000006,871.5999799999993,67.199997,76.0,0.0,0.0,0.0,1.0,1536.0,0.022999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,481
2,-3.906039927777777,-3.8703058013888887,264.4984543055556,731.7999300000006,871.5999799999993,67.199997,76.0,0.0,0.0,0.0,1.0,1536.0,0.022999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,480
3,-3.6041897208333316,-3.8404974305555566,260.3790498611111,731.7999300000006,871.5999799999993,67.199997,76.0,0.0,0.0,0.0,1.0,1536.0,0.022999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,479
4,-3.731067788888891,-3.8022294527777785,260.27368861111114,731.7999300000006,871.5999799999993,67.199997,76.0,0.0,0.0,0.0,1.0,1536.0,0.022999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,478
5,-3.593630915277778,-3.7948579166666665,258.39169124999995,731.7999300000006,871.5999799999993,67.199997,76.0,0.0,0.0,0.0,1.0,1536.0,0.022999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,477
6,-3.6622560861111118,-3.9035748527777767,255.61115680555562,731.7999300000006,871.5999799999993,67.199997,76.0,0.0,0.0,0.0,1.0,1536.0,0.022999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,476
7,132.60461973194444,-8.138814186111112,234.62946713888883,863.1606196012386,1267.2494358511901,55.80801492032187,67.2636927953219,11.834557111111112,431.6701388888889,14.984722097222216,0.9670933122222234,1536.0,0.282245052875,13.950413031944443,19.350682050683808,0.0,266.6133254589117,285.9640075095959,0.0,475
8,286.08580375000014,52.8031443898611,254.3302625,852.4039079166664,1722.2350958333332,51.528110763888876,68.10404477777773,28.191945375000003,1057.732638888889,36.594445347222205,0.9849519906944448,1584.0,0.5961498556944443,32.31537119444443,20.32576906648455,22637.172612479437,783.9576395660265,804.2834086325113,1113.7178887762846,474
9,286.9381980555556,201.05194652777777,256.5687630555556,684.2828579166666,1716.7979333333333,52.61765455555556,70.91490188888889,31.679608875,1195.8819444444443,40.22083741666664,0.9850816718055562,1686.2222222222222,0.5954909183333335,41.368628013888866,53.019709000000056,31635.000000000007,636.1310989999989,689.1508079999991,596.664911910399,473
10,285.8528115277779,269.4069512499999,258.2887993055555,622.8669287499995,1715.4555166666673,53.926030791666705,71.16080172222219,31.217296402777777,1209.486111111111,40.80000633333332,0.9900000100000013,1728.0,0.6886952036111108,41.71002608333326,84.57689399999988,38413.99999999999,527.1944020000004,611.7712959999994,454.1902425501692,472
11,279.0622134722222,270.22069097222226,255.5768997222222,593.7731083333333,1698.1122777777769,54.97827751388891,71.58635616666666,30.965210888888894,1202.7291666666667,40.833342,0.9900000100000013,1728.0,0.686990601527778,40.676051055555625,146.23617700000003,42933.0,503.2360039999993,649.4721809999994,293.5867230719523,471
12,286.8007711111111,283.59254180555564,261.53120624999985,550.642665277778,1699.4768874999997,55.60265563888888,72.71119275000001,31.43095047222222,1237.267361111111,41.734725138888855,0.9893825595833342,1750.2222222222222,0.8076066066666664,42.77661715277781,207.89546100000004,47451.99999999999,479.2776059999999,687.1730670000011,228.2493315234043,470
13,283.3963401388889,291.973684861111,259.0745795833334,488.34825416666666,1695.4961708333328,55.91731115277779,73.40414834722222,32.545182722222236,1279.5381944444443,42.799998999999964,0.9873007390277784,1792.0,0.7881891058333335,46.37485908333335,219.4841849999997,48421.0,439.4122109999996,658.8963959999988,220.61270610454255,469
14,279.2100106944445,290.16562194444435,254.5707643055555,482.4606456944444,1683.2002999999995,56.70656254166667,73.68460293055556,32.0,1273.1527777777778,42.793055041666676,0.9883318951388903,1792.0,0.8247582255555552,45.82897451388888,231.07290800000004,49389.0,399.5468150000005,630.6197230000009,213.7377351048012,468
15,274.9042883333333,287.31775236111093,253.2812150000001,485.52725999999984,1667.681313888889,57.651210125,74.03853159722222,31.71437761111112,1268.6597222222222,42.777779166666676,0.9883491150000014,1792.0,0.7105221976388889,45.321236388888906,242.66163100000034,50358.00000000001,359.68141900000035,602.3430500000004,207.52353716768667,467
16,276.23386236111105,291.45898916666675,259.6356899999999,489.0645940277777,1664.7911458333333,58.49189026388889,76.38025175000001,33.50919647222222,1305.6006944444443,43.3861109583333,0.9900000100000013,1792.0,1.04101784875,49.91313973611112,254.25035500000007,51325.99999999999,319.81602399999986,574.0663790000007,201.87189119165657,466
17,276.07431249999985,293.22173166666664,259.86149055555563,454.93719458333345,1664.4067472222225,58.851956999999985,78.07258363888893,35.05396751388889,1347.3194444444443,44.30278169444439,0.9900000100000013,1792.0,1.0129368194444444,53.018913361111125,265.8390780000005,52294.0,279.9506279999999,545.7897060000001,196.71299040542138,465
18,277.5136602777777,276.92408347222215,260.03008430555553,413.5829037499999,1664.398919444445,59.01169069444448,78.47083872222223,35.77430641666667,1382.3125,45.100006180555596,0.9900000100000013,1792.0,0.8569696269444447,55.881661208333384,277.42780100000016,53263.0,240.0852329999999,517.5130340000001,191.98868969876628,464
19,279.2770501388888,281.95820750000007,261.6546927777778,403.85744513888886,1664.0662638888882,59.516249527777795,78.44617176388886,35.60566869444445,1383.795138888889,45.227777250000024,0.9900000100000013,1792.0,0.9742018979166664,55.14417133333336,289.01652499999943,54230.99999999999,200.21983700000018,489.23636199999993,187.63978980094672,463
20,273.2457109722223,275.38500902777787,255.08560666666673,396.5637811111112,1657.381101388889,59.811751458333305,78.81759451388888,35.0,1380.3229166666667,45.22499962500003,0.9900000100000013,1792.0,1.0098842043055556,54.84351736111112,291.1764189999997,54796.0,183.22417700000003,474.4005959999997,188.1883161699298,462
21,267.91679166666665,271.2658748611111,248.3632441666667,395.8373804166663,1658.4360805555557,60.42718388888889,78.37579967080588,35.0,1376.7604166666667,45.236110125000025,0.9900000100000013,1792.0,1.031252936944445,53.92756704166667,293.33631199999974,55361.0,166.22851799999992,459.5648299999996,188.7287653633556,461
22,269.5377079166666,272.65360583333336,250.6826104166666,393.90447986111127,1656.9781486111112,60.790205388888886,79.62794616666663,34.669060986111106,1372.2222222222222,45.27084012499994,0.9900000100000013,1792.0,1.0153301612499996,53.499332138888924,295.49620599999986,55925.99999999999,149.23285799999996,444.7290639999994,189.2613132230873,460
23,270.8875644444445,275.35683944444446,252.83800444444452,392.2303831944443,1656.405997222223,61.68845898611111,80.96359802777776,34.25307194444444,1369.9965277777778,45.30001099999995,0.9900000100000013,1792.0,0.8513529230555552,53.476518902777784,297.6561000000001,56491.00000000001,132.23719799999998,429.8932979999998,189.7861323856627,459
24,266.67610118644063,274.0412971186441,247.8224347457627,391.82399542372883,1650.9509864406775,62.95411452542372,83.006682559322,34.0,1368.8686440677966,45.225423593220356,0.990000010000001,1792.0,0.8291538601694918,53.05896566101694,299.5204290000001,57244.0,124.76276299999991,424.2831919999999,191.11885019368736,458
25,267.78878902777774,275.3845254166667,249.36454666666657,390.46019999999993,1648.8975944444442,63.82558947222223,83.9873972916667,34.0,1366.4791666666667,45.227777250000024,0.9900000100000013,1792.0,0.7937754740277778,52.17417098611108,301.3847590000002,57997.0,117.28832700000015,418.6730859999996,192.4350793067146,457
26,266.74358541666663,276.31179708333343,247.65975888888886,392.142810138889,1648.4281208333332,65.07137868055554,85.41645615277778,34.0,1363.986111111111,45.230554875000024,0.9900000100000013,1792.0,0.8324646563888891,52.21226343055554,303.2490880000002,58751.0,109.81389200000007,413.0629799999996,193.7384227186862,456
27,270.75238708333336,277.409554861111,252.6916740277778,394.21220722222233,1647.4774736111112,65.58327765277778,86.79217145833334,33.72144981944444,1360.5555555555557,45.222222000000016,0.9900000100000013,1792.0,0.8297706994444446,51.96039358333333,305.11341700000037,59504.000000000015,102.33945700000002,407.4528739999995,195.0225610694796,455
28,271.1420868055555,277.5262056944445,252.7308922222222,399.4187865277778,1645.413463888889,66.35029781944445,87.78510894444446,33.23285879166667,1359.673611111111,45.24444300000002,0.9900000100000013,1792.0,0.8161858688888889,51.662322680555526,306.9777470000005,60257.000000000015,94.86502099999989,401.8427679999996,196.29110119177483,454
29,271.99850152777776,281.2132106944445,252.83823680555562,399.2614895833334,1645.8140638888883,66.3030492777778,87.81915641666667,33.0,1359.763888888889,45.23055487500002,0.9900000100000013,1792.0,0.8608290426388892,51.72378305555555,308.8420760000005,61010.000000000015,87.39058600000016,396.23266199999955,197.54432682935305,453
30,268.67070694444436,278.07152847222216,249.7429480555556,394.8230506944444,1641.2459402777781,66.60094469444442,88.0697733472222,33.0,1359.3055555555557,45.24722062500001,0.9900000100000013,1792.0,0.8535450165277777,51.508632652777784,308.8420760000005,61010.000000000015,87.39058600000016,396.23266199999955,197.54432682935305,452
31,267.1930873611111,278.1723543055555,248.23618972222215,397.18611097222214,1638.6106319444452,65.7183145277778,86.68786176802809,33.19421586111111,1357.826388888889,45.26944808333325,0.9900000100000013,1792.0,0.8203539181944444,51.10936994444443,308.8420760000005,61010.000000000015,87.39058600000016,396.23266199999955,197.54432682935305,451
32,262.87151916666664,276.6996948611111,242.82070527777782,395.26108680555546,1633.7260125,63.9817520972222,86.97186445833333,33.17822233333332,1357.2371527777777,45.26389025000002,0.9900000100000013,1792.0,0.7552564963888888,51.503315652777786,200.74734940000016,39656.5,56.803880899999974,257.5512302999997,197.54432682935305,450
33,269.58912124999995,280.53706847222224,251.17358708333327,396.57106069444444,1638.2224986111112,64.06686922222224,86.93505002777778,33.273167055555554,1356.4340277777778,45.23611012500001,0.9900000100000013,1792.0,0.7809765051388889,51.82973708333331,308.8420760000005,61010.000000000015,87.39058600000016,396.23266199999955,197.54432682935305,449
34,272.54213152777777,282.44056749999993,254.2757331944445,398.1856744444444,1640.446729166667,64.13046391666666,87.06614747222221,33.45029111111111,1355.642361111111,45.25555436111111,0.9900000100000013,1792.0,0.7082213402777777,51.109370722222216,308.8420760000005,61010.000000000015,87.39058600000016,396.23266199999955,197.54432682935305,448
35,275.2453495833334,285.87987986111114,256.99701138888884,399.1900925000001,1641.6293166666667,64.0488736111111,86.9980172361111,33.29589315277778,1356.7222222222222,45.24166795833331,0.9900000100000013,1792.0,0.7195719612500002,51.165470222222226,308.8420760000005,61010.000000000015,87.39058600000016,396.23266199999955,197.54432682935305,447
36,276.3409930555556,285.86934291666665,258.4427501388888,400.7255498611112,1640.8898805555557,63.9868553611111,86.92050056944443,33.23147263888888,1355.0,45.241665805555584,0.9900000100000013,1792.0,0.7551875429166666,50.83340123611111,325.2058216785775,63569.99224109306,78.5816064796045,403.78742815818254,195.4761815547189,446
37,272.8479343055557,284.38714652777776,253.13180361111114,401.21150888888906,1638.1546361111111,64.03603943055555,86.98468152777778,33.279515499999995,1357.451388888889,45.23194519444448,0.9900000100000013,1792.0,0.872078854027778,50.43757420833332,319.0987050000002,65136.999999999985,77.66920099999997,396.76790600000015,204.1280612530222,445
38,271.77172902777767,283.5534720833333,252.24170708333335,401.1347329166666,1636.582702777778,64.03270256944445,86.88821669444444,33.13860852777778,1356.201388888889,45.23889033333332,0.9900000100000013,1792.0,0.874469766111111,50.629783972222214,321.4174270000002,65256.0,76.50099700000007,397.91842399999973,203.02570588370727,444
39,275.6194968055555,286.9823922222223,255.87466638888898,402.2010306944444,1639.7123083333336,64.18416522222219,86.99634362500001,33.35699577777777,1357.6458333333333,45.25694769444441,0.9900000100000013,1792.0,0.9479582238888887,51.49982538888887,323.7361500000004,65375.0,75.33279299999992,399.0689429999994,201.93914087135457,443
40,273.9858723611112,284.1367480555556,254.6384583333333,403.36801083333324,1638.1741972222217,64.19680663888889,86.97168925,33.290930402777775,1357.5625,45.263892402777735,0.9900000100000013,1792.0,0.9172611702777775,50.93466261111109,323.9292429999997,65483.000000000015,75.41219499999991,399.3414379999997,202.15217185563,442
