RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,2.006296626249984,-137.66375534583327,270.30128275,716.5554345833335,1093.9916902777777,28.341290208333334,36.26948844444444,11.437745388888889,465.4513888888889,14.113889680555557,3.483872985972221,726.2222222222222,0.1905510502416667,16.547075650277772,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1871
2,421.65242250000006,296.701247638889,287.0542777777777,963.5062502777778,1884.1324055555556,53.0286195138889,72.34619061111113,26.11258840277778,1134.7916666666667,35.052779930555545,0.3965615423611111,1469.3333333333333,0.39715509458333326,36.57713173611115,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1870
3,397.7923200000001,295.78216444444456,291.87192541666667,985.7696275000003,1859.112920833334,54.583120388888894,77.55127812499998,27.81248377777778,1150.78125,35.07916838888889,0.39575663305555536,1333.3333333333333,0.4298958991666666,40.032992875000005,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1869
4,390.4969702777778,293.2483904166668,286.8693273611111,967.1961063888892,1818.7191263888885,54.25383719444443,77.19426077777776,27.06273455555556,1142.7777777777778,35.054168819444435,0.39766522152777767,1408.0,0.40266990875,38.44766784722223,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1868
5,386.14223263888886,294.12974375,288.4045127777778,932.8796681944445,1777.7160513888884,54.97206256944447,79.28267645833336,27.226686347222216,1143.6631944444443,35.02916912499999,0.3974295322222221,1408.0,0.45757899472222224,38.70391805555556,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1867
6,388.24465069444443,293.48710750000004,288.44036055555557,926.3006727777779,1783.3842347222226,55.51145213888887,80.76105952777779,27.045432763888883,1154.1145833333333,35.36666887499998,0.39613047250000005,1447.111111111111,0.452349188611111,38.936881194444425,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1866
7,380.6786718055557,297.98593819444454,289.9345390277777,797.3043738888889,1771.6862277777773,55.852781583333325,81.16651715277779,31.001668083333332,1285.1215277777778,38.3236106388889,0.39981514291666653,1674.6666666666667,0.3060000136111111,51.10191123611115,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1865
8,371.57132527777793,298.4756905555556,285.95318152777776,703.4385479166666,1749.0850402777785,56.3165502083333,82.11059833333334,32.965736652777785,1360.0,40.051387500000004,0.3992643865277777,1792.0,0.3135515280555555,57.30257987500004,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1864
9,372.6231897222222,300.1298040277778,285.92565180555556,692.7413593055555,1736.228136111111,56.569649750000046,81.95879683333334,32.401741027777774,1356.0590277777778,40.02777670833335,0.39749450277777776,1792.0,0.2958023631944444,56.493437486111155,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1863
10,377.9364079166668,304.48224541666656,289.5565655555555,685.5359370833334,1724.1373749999996,56.772928708333296,81.98169008333335,32.0,1350.0520833333333,40.069443138888886,0.3992968987499999,1792.0,0.292247625,55.70747198611113,471.94444996667903,323074.0846268359,167.28699959250358,639.2314495591847,772.5653505328514,1862
