RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,351.5187286111111,24.390408126388895,243.78938180555556,1076.9084033333331,1925.3505083333334,58.81402913888889,81.06174906944447,31.17815358333333,1185.1408472222222,34.80139202777778,0.9823843609722223,1905.7777777777778,0.880977940277778,45.80392594444444,157.00588770823873,62460.61754401552,1208.796160099291,1365.802047807533,397.82340940032094,492
2,266.3573947222222,119.48156526388885,243.4598441666667,872.1617611111113,1750.4034124999998,58.942746138888864,80.65057133333333,29.116064680555553,1180.236111111111,35.279170319444425,0.9833249676388882,1920.0,0.7994652183333335,41.502317986111095,158.39743716506183,54580.45994651827,1225.8977462703385,1384.2951834354024,344.5791858970634,491
3,263.25613666666663,203.93814500000002,239.9540347222222,727.5518474999999,1729.6516638888884,59.06803955555555,81.21136245833335,31.378010638888888,1292.0208333333333,37.962502083333334,0.9833068288888887,1920.0,0.8055104293055552,50.960370916666655,100.53390408293562,29382.27356125899,782.0537466610402,882.5876507439754,292.26233507275316,490
4,261.0726888888889,247.80029305555556,236.13742333333332,388.7949844444444,1736.443025,59.37907649999998,86.47640637500004,38.09570794444445,1568.673611111111,44.12222429166666,0.9800000199999995,1920.0,0.8108661880555554,76.439638,0.0,0.0,0.0,0.0,240.84883755784733,489
5,256.13006472222213,261.4600130555555,240.11075847222224,324.68673361111104,1730.529068055556,59.4301721944444,87.05841698611111,37.51051818055555,1583.6840277777778,44.77083708333333,0.9816366702777777,1920.0,0.7603037858333331,74.93884605555546,143.5540379593142,36124.30137453489,1122.2962225136714,1265.8502604729863,251.6425304927547,488
6,261.91920972222226,264.4006872222223,249.65355680555558,318.9042027777776,1735.759706944444,59.43096558333329,86.81240352777778,37.0,1577.6805555555557,44.761114486111104,0.9800000199999995,1920.0,0.7403956888888888,73.7149789166667,115.43357818659456,30642.75316441733,902.4505658803304,1017.8841440669219,265.45788189017554,487
7,258.13337652777784,260.67930291666676,246.7510176388889,312.98122208333314,1730.0357236111113,59.53548156944445,87.00532475000001,37.0,1573.763888888889,44.7500041388889,0.9816652179166666,1920.0,0.686118734861111,73.16675716666668,106.62532528485438,29115.108577117087,962.8847744212476,1069.510099706103,273.05997425409777,486
8,256.6136447222222,256.3398490277778,242.6662177777778,308.59701263888877,1731.6034111111105,59.56316284722224,87.2639651527778,36.53141311111111,1572.3229166666667,44.791671152777774,0.9803226797222213,1920.0,0.6905124404166672,72.66684859722227,87.32311072978723,24801.759156687935,941.2780224275918,1028.601133157378,284.0228543098347,485
9,260.8815279166666,258.4781777777778,248.01998958333323,310.66724041666663,1735.4862555555555,59.54425065277778,87.3367226805556,36.318298194444445,1571.111111111111,44.765281527777766,0.9813222422222219,1920.0,0.704965009166667,72.61999977777776,92.87086116772942,23723.421801580636,895.0966926228789,987.9675537906072,255.44526564403148,484
10,258.0523040277777,256.88766069444443,246.6393841666666,306.2345752777779,1730.0739013888892,59.58164083333337,87.38245865277774,36.06452141666667,1569.861111111111,44.7652805138889,0.9800000199999995,1920.0,0.7004238352777779,71.82328491666665,98.41861160567174,22645.084446473353,848.9153628181651,947.3339744238381,230.08945236094257,483
11,261.1566047222222,254.80147916666672,249.95306833333336,307.0371504166665,1734.656034722222,59.64896693055559,87.06251704166664,36.019933583333334,1570.6537638888888,44.7666702361111,0.9800000199999995,1920.0,0.6914983081944445,72.27473912500002,96.76437874363792,20488.409736258833,834.646682663404,931.4110614070396,211.73504136826708,482
12,261.70791013888885,259.6048488888889,250.99991944444446,308.7529005555555,1732.852009722222,59.622640736111144,86.89192747222222,36.0,1567.298611111111,44.77361441666665,0.9800000199999995,1920.0,0.7027320883333332,71.66203711111112,95.11014588160373,18331.735026044284,820.37800250864,915.4881483902441,192.7421607455449,481
13,255.0900869444444,252.90332458333322,245.41453986111114,300.785259861111,1725.5300291666672,59.60049137500001,86.75183384722219,36.0,1567.6215277777778,44.79167174999998,0.9800000199999995,1920.0,0.6945631056944447,71.16793522222218,74.88413894903714,18870.90371437743,806.6803039181755,881.5644428672108,252.0013447336313,480
14,259.1034631944444,254.26242083333332,250.54899708333335,302.5671850000001,1725.7890194444442,59.59212744444446,86.32911159722222,35.89356808333332,1564.0,44.777781763888896,0.9800000199999995,1920.0,0.7052910841666667,70.58813520833334,54.658132016470525,19410.072402710583,792.982605327707,847.6407373441776,355.11774161732416,479
15,259.14723222222227,254.54149805555562,250.66284055555556,302.6516802777776,1725.613904166667,59.548361069444454,86.1397158194444,35.46982455555556,1561.2291666666667,44.74444779166668,0.9800000199999995,1920.0,0.7410293983333336,70.011818125,56.10702217047216,18870.90371437743,772.103428722883,828.2104508933552,336.33764517106727,478
16,259.5987269444445,254.71839541666668,251.76144013888884,303.04753611111107,1725.4845333333337,59.55507833333333,85.83552613888887,35.689813569444446,1562.0868055555557,44.788892888888896,0.9800000199999995,1920.0,0.7531255480555553,70.44325781944443,57.555912324473525,18331.735026044284,751.224252118058,808.7801644425324,318.50307441394403,477
