RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,319.71428014084495,288.92408802816897,282.19605887323934,757.8000007042256,1890.3950887323947,64.38417740845068,113.64472042253517,61.62202570422536,1700.3169014084508,45.978862591549245,0.2215413160563381,2688.0,0.39799357605633806,133.68479323943666,985.0266585260185,260163.33496825607,2119.525666357059,3104.55232488308,270.20705580350506,477
2,314.2348611111113,282.4576088888889,275.7752130555557,752.388400277778,1882.1360763888888,64.45113116666664,113.86105583333334,61.28306784722223,1700.3819444444443,45.98610094444441,0.22081231444444457,2688.0,0.39747087333333336,133.1981190277777,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,476
3,319.46458499999994,287.3999923611111,282.16305166666666,752.8407191666669,1885.0304416666675,64.44379799999997,114.19479375000002,61.952096680555556,1705.7291666666667,45.986100666666616,0.2206677125,2688.0,0.3812584498611111,134.15698444444436,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,475
4,317.96592444444445,286.8929529166666,280.1226461111111,749.5170345833334,1880.9898194444447,64.4661071111111,114.51283625000002,61.99593661111112,1708.923611111111,45.99026743055551,0.22058265027777782,2688.0,0.39236479125,134.71067083333332,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,474
5,320.8264490277777,289.60763624999987,283.96319250000005,751.16352125,1883.498627777778,64.457528,114.83066388888886,62.01724466666667,1710.0,45.98471165277773,0.2205156479166668,2688.0,0.3806292231944445,135.37123222222218,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,473
6,317.02504541666656,286.63525125,279.68842347222227,753.2280770833339,1884.076965277778,64.4653802638889,115.02777388888892,62.37658263888886,1710.0,45.981934180555506,0.2216096323611112,2688.0,0.40716732819444446,136.2524059722223,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,472
7,315.03868805555544,284.5762463888889,278.17749652777786,756.9814469444445,1885.8175125,64.48102336111111,115.11028638888898,62.51110340277777,1710.138888888889,45.98610052777772,0.21829347083333336,2688.0,0.38798063027777807,136.38304152777778,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,471
8,316.6635256944444,286.54879277777775,280.34883791666664,761.0,1887.0,64.5,115.10000000000014,62.34816769444444,1710.0,45.983322777777715,0.20999999,2688.0,0.3619999900000002,136.16370472222223,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,470
9,321.15824638888876,288.77639236111105,281.63943236111095,746.6349934722222,1898.8017069444443,64.798931375,116.53977499999999,61.882600624999995,1733.6493055555557,46.75555280555556,0.2179196172222223,2688.0,0.3708759695833335,137.10375402777788,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,469
10,329.15221958333336,293.2747511111111,286.08691305555567,721.5352962500001,1921.5794708333333,64.59547811111113,118.25934375,62.391843291666675,1780.017361111111,47.96944681944442,0.22065206777777785,2688.0,0.34037416819444466,142.37292430555553,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,468
11,324.7460841666668,289.1036024999999,281.2288316666666,724.5966213888893,1927.626225,64.41065627777775,117.89140555555556,63.0,1782.8993055555557,47.975001736111096,0.21681302875000008,2688.0,0.3618708961111112,144.04645930555546,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,467
12,327.49496180555553,292.1301980555556,284.7705047222222,724.7614001388889,1928.9897527777784,64.46124029166667,118.22667097222227,63.054192916666665,1787.5868055555557,47.981946305555546,0.2225194994444445,2688.0,0.375981246388889,144.42604666666674,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,466
13,326.96788874999993,292.1741986111111,283.9055288888888,725.6894525000002,1928.8176402777785,64.48114509722222,118.88345958333328,63.825575541666616,1790.1215277777778,47.99444758333333,0.22056512222222233,2688.0,0.3721553241666667,145.68920555555545,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,465
14,327.34889222222205,291.78190902777783,284.9303016666666,724.824806527778,1927.667009722222,64.49922022222222,119.57733847222224,63.99998899999994,1795.7256944444443,47.98055744444445,0.22201074583333347,2688.0,0.36916051958333324,147.02398069444448,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,464
15,333.4356993055557,299.4580805555556,291.3423333333333,726.0090306944447,1930.5217500000003,64.55794268055556,120.47732194444444,64.5187208472222,1800.0,47.984724527777765,0.22046238680555563,2688.0,0.3625842769444445,148.40360611111092,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,463
16,329.2751377777779,296.5966358333335,285.7441991666665,706.1462718055558,1907.598505555556,65.1510339722222,122.18345416666668,63.44480455555556,1825.6944444444443,48.94861170833334,0.2194888205555556,2757.3333333333335,0.36316194944444435,148.5233538888889,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,462
17,333.03270402777775,296.64884194444454,286.7329577777778,676.0374329166668,1930.011319444444,65.04171708333332,123.74745513888894,63.955210291666646,1865.7118055555557,49.99999886111108,0.22123467944444453,2816.0,0.3667755118055556,153.25462861111114,985.0266585260187,260163.3349682561,2119.525666357059,3104.55232488308,270.20705580350506,461
