RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,282.0524998275862,281.6065612068966,264.57015724137926,531.9843870689654,1908.649779310345,62.229784327586216,89.97247236206897,45.69267239655172,1718.4181034482758,47.36304236206895,1.0,2688.0,0.3710058444827586,100.34726848275858,1091.5389139999988,184231.0,1485.510502999999,2577.0494170000015,168.78097302539214,600
2,290.6157454166666,290.0838279166666,274.3961381944444,532.590755,1915.3192736111107,62.306351527777714,90.04874602777778,45.32604170833334,1716.201388888889,47.37028355555555,1.0,2688.0,0.3560437498611112,99.77954937499993,1054.141757999999,183233.0,1499.4335900000003,2553.575348000003,173.82197281288242,599
3,285.43832986111113,286.00100402777775,268.7179777777777,525.4413291666667,1908.0815791666666,62.389597458333306,90.08163452777778,45.138888888888886,1713.423611111111,47.37032591666666,1.0,2688.0,0.38490208513888885,99.14296198611106,1016.7446029999994,182234.0,1513.3566779999976,2530.1012810000016,179.23281762430983,598
4,291.13255805555553,290.0378861111111,274.56492555555565,525.241318888889,1909.5927597222226,62.44531231944443,90.18156530555555,44.865972194444446,1709.517361111111,47.37270354166665,1.0,2688.0,0.4003728772222222,98.19443766666662,979.3474469999995,181236.00000000003,1527.2797649999995,2506.6272120000003,185.057918469256,597
5,286.26071361111116,289.81329763888874,270.2880531944445,520.1742386111112,1906.0940208333332,62.50868394444444,90.5743952222222,44.80312501388889,1708.798611111111,47.3673348472222,1.0,2688.0,0.38475624986111095,98.00574151388884,941.9502910000006,180237.0,1541.2028529999986,2483.1531440000012,191.34449208424306,596
6,285.53940291666663,293.21391541666674,270.3258159722222,517.090517638889,1903.821279166667,62.5616592777778,90.93898437499998,44.766319430555555,1708.3333333333333,47.37125609722222,1.0,2688.0,0.384559651388889,97.88535002777773,904.5531360000009,179239.0,1555.1259399999985,2459.679076,198.15198562309754,595
7,288.98348972222226,295.45784972222214,274.38455666666675,517.3675598611112,1906.9035194444436,62.57633618055555,89.849726406917,44.58090279166666,1706.2256944444443,47.37450437499999,1.0,2688.0,0.36488726680500005,97.43657994444443,867.1559800000014,178240.0,1569.0490279999979,2436.205007999999,205.54548905953428,594
8,288.2932294444444,297.0564147222223,273.5578554166667,515.509305138889,1903.4204444444445,62.609780597222276,91.2747858888889,44.391319430555555,1704.3541666666667,47.38134797222219,1.0,2688.0,0.40728055319444434,97.00205015277773,829.7588239999988,177241.0,1582.9721149999978,2412.7309390000005,213.60544157346655,593
9,286.2496352777779,297.20380888888894,271.22275027777783,512.2363849999999,1899.9547319444448,62.681861055555615,90.64228658333334,44.229513847222215,1702.8020833333333,47.37625563888887,1.0,2688.0,0.40980208263888884,96.79952926388891,792.3616689999997,176243.00000000003,1596.8952029999973,2389.2568719999986,222.42746828279485,592
10,297.17397513888886,300.8656037500001,283.79432680555556,516.985189027778,1911.656054166667,62.696121694444514,90.23373516666665,44.22881948611112,1701.8541666666667,47.36022013888888,1.0,2688.0,0.40599097138888895,96.54158729166666,754.9645129999994,175244.0,1610.8182899999986,2365.7828030000005,232.12216863496496,591
11,290.17332000000005,289.2921191666667,276.49171569444457,510.1676363888889,1905.0793791666676,62.73207547222224,90.02740584722221,44.14548615277777,1701.4305555555557,47.373940069444444,1.0,2688.0,0.4509513861111111,96.20234226388892,754.9645129999994,175244.0,1610.8182899999986,2365.7828030000005,232.12216863496496,590
12,287.35135902777785,287.36671458333325,273.49907625000014,507.79529375,1901.082500000001,62.781878583333295,90.04833533333334,44.06041663888888,1700.7430555555557,47.378251611111104,1.0,2688.0,0.47871319375,96.17625808333334,754.9645129999994,175244.0,1610.8182899999986,2365.7828030000005,232.12216863496496,589
13,285.5938627777777,286.21128916666675,271.68208555555566,504.87701375,1898.5992375000003,62.80102422222217,90.10458861111105,44.039236125,1700.295138888889,47.364236472222224,1.0,2688.0,0.4872930537500002,95.77044926388893,754.9645129999994,175244.0,1610.8182899999986,2365.7828030000005,232.12216863496496,588
14,284.57521277777784,282.9362436111112,270.6190886111112,502.1804101388889,1894.7898611111107,62.84121013888887,90.23587566666673,43.93715281944444,1699.232638888889,47.37221236111112,1.0,2688.0,0.461280555,95.66109216666672,754.9645129999994,175244.0,1610.8182899999986,2365.7828030000005,232.12216863496496,587
15,283.9496468055556,284.1596369444444,270.0501658333333,501.71634263888893,1895.5704638888892,62.86454477777777,89.15719925413924,43.81041663888888,1697.4756944444443,47.363660694444434,1.0,2688.0,0.4259772122212499,95.33972631944451,754.9645129999994,175244.0,1610.8182899999986,2365.7828030000005,232.12216863496496,586
16,289.7849344444444,291.06039722222215,276.6374705555556,504.6976843055555,1901.9415930555556,62.90634219444443,89.67902065691696,43.67812501388889,1695.923611111111,47.36890045833334,1.0,2688.0,0.44261019124999984,94.95817975000004,760.7737035840747,174550.94589565074,1534.6756105069067,2295.449314090977,229.4387214927715,585
17,290.4078141666665,292.04065625,277.25900652777773,501.8665269444443,1901.539791666667,62.958566958333336,91.43732563888886,43.25972216666667,1691.673611111111,47.3743352222222,1.0,2688.0,0.47035833472222216,93.95012465277775,757.2166701038929,177104.45785064984,1527.3715654649268,2284.5882355688173,233.88874656754518,584
18,287.8745936111112,292.4464981944445,274.6989794444445,500.9861105555557,1899.4570194444443,63.00356144444444,91.9584566111111,43.138888888888886,1690.6458333333333,47.37908899999998,1.0,2688.0,0.45833054861111105,93.64486090277772,751.9814641388169,178535.22226752157,1502.4998663102058,2254.4813304490244,237.41971149778686,583
19,285.1299138888889,291.66514972222217,271.7805987500002,497.19335152777774,1895.1727305555562,63.02043129166668,92.21078795833334,43.0930555,1690.0069444444443,47.36942929166667,1.0,2688.0,0.4267812440277779,93.47267273611106,738.577221429616,174471.7679891219,1533.7830256295563,2272.3602470591723,236.2268466002896,582
20,281.43807722222226,290.7844098611111,268.1947441666665,491.6156898611112,1891.2246166666669,63.02807870833333,92.21696952777774,43.132291625,1689.1666666666667,47.36914812499999,1.0,2688.0,0.4366145787499999,93.41664649999991,751.6312640000011,185888.0,1494.8960519999976,2246.5273160000015,247.31275680411278,581
